scorer,contrast,family_a,family_b,criterion,n_a,n_b,mean_a,mean_b,mean_diff,hedges_g,ci_low,ci_high,welch_t,welch_df,p_raw,sig_05
A,Convergent vs BoundedRational,Convergent,BoundedRational,exploration_opening,36,21,3.111111111111111,3.0,0.11111111111111116,0.15482599721420878,-0.3841102031872231,0.6937621976156406,0.5291502622129184,33.0274675292812,0.6002399568848424,False
A,Convergent vs BoundedRational,Convergent,BoundedRational,reframing_quality,36,21,2.5,2.238095238095238,0.26190476190476186,0.3247022774080237,-0.21677468733796434,0.8661792421540118,1.107781804952296,32.85156250000001,0.2760012073175835,False
A,Convergent vs BoundedRational,Convergent,BoundedRational,evaluative_discipline,36,21,1.7777777777777777,1.2857142857142858,0.49206349206349187,0.4705488698982371,-0.07452523813473388,1.015622977931208,1.7547482158033683,43.260580546322075,0.08638313389565644,False
A,Convergent vs BoundedRational,Convergent,BoundedRational,agency_preservation,36,21,3.4166666666666665,3.380952380952381,0.03571428571428559,0.07057240713709222,-0.4677697492703943,0.6089145635445787,0.2609188929223254,42.14211308088505,0.7954259090228756,False
A,Convergent vs BoundedRational,Convergent,BoundedRational,anchor_management,36,21,2.5833333333333335,2.380952380952381,0.20238095238095255,0.3518396460716797,-0.1902083117407949,0.8938876038841543,1.2038887175035735,33.1444605237711,0.23716032328588954,False
A,Convergent vs BoundedRational,Convergent,BoundedRational,coregulation_uptake,36,21,3.138888888888889,3.0,0.13888888888888884,0.35251219097365966,-0.18955049147662767,0.8945748734239469,1.4054071652819093,51.57583516673299,0.16589555957269436,False
A,Convergent vs BoundedRational,Convergent,BoundedRational,timing_fit,36,21,3.7777777777777777,3.619047619047619,0.1587301587301586,0.34732366632678735,-0.1946261371421769,0.8892734697957516,1.2272017341845392,36.592523736803656,0.22758378333415663,False
A,Convergent vs BoundedRational,Convergent,BoundedRational,implementation_grounding,36,21,2.0833333333333335,1.8095238095238095,0.27380952380952395,0.23940181792636037,-0.30057577397934876,0.7793794098320695,0.8575167644950437,38.18967252608818,0.3965090061314476,False
A,Convergent vs BoundedRational,Convergent,BoundedRational,cognitive_load_clarity,36,21,3.5277777777777777,3.3333333333333335,0.1944444444444442,0.3851208439379776,-0.15768897819938038,0.9279306660753355,1.4400557560077731,43.61339110187169,0.15699179947206582,False
A,Convergent vs BoundedRational,Convergent,BoundedRational,stance_integrity,36,21,3.9722222222222223,3.7142857142857144,0.2579365079365079,0.8228034957694925,0.26382375983297734,1.3817832317060077,2.4620505620053525,23.063692211281914,0.021710909467969577,True
A,Convergent vs BoundedRational,Convergent,BoundedRational,premature_convergence_risk,36,21,0.5277777777777778,0.3333333333333333,0.19444444444444448,0.38512084393797813,-0.15768897819937983,0.9279306660753361,1.4400557560077756,43.6133911018717,0.15699179947206526,False
A,Convergent vs BoundedRational,Convergent,BoundedRational,runaway_divergence_risk,36,21,0.25,0.23809523809523808,0.011904761904761918,0.02679720681835778,-0.5114115285506624,0.5650059421873779,0.09911197057469118,42.19147965996809,0.9215187846950681,False
A,Rational vs BoundedRational,Rational,BoundedRational,exploration_opening,19,21,3.1052631578947367,3.0,0.10526315789473673,0.13039488155653683,-0.4908452352103873,0.7516349983234609,0.42289189621785833,37.97919198233835,0.6747591032035805,False
A,Rational vs BoundedRational,Rational,BoundedRational,reframing_quality,19,21,2.526315789473684,2.238095238095238,0.28822055137844593,0.3259313210322914,-0.2987478210010387,0.9506104630656215,1.060969582791068,37.648067080860194,0.2954628545930001,False
A,Rational vs BoundedRational,Rational,BoundedRational,evaluative_discipline,19,21,2.1578947368421053,1.2857142857142858,0.8721804511278195,0.9493421379916325,0.2948187573658245,1.6038655186174404,3.101547612851182,36.94282650153215,0.0036772133401085866,True
A,Rational vs BoundedRational,Rational,BoundedRational,agency_preservation,19,21,3.473684210526316,3.380952380952381,0.092731829573935,0.1799951975235712,-0.44183964549930155,0.8018300405464439,0.5791013600264298,37.338369794540206,0.5659983256742989,False
A,Rational vs BoundedRational,Rational,BoundedRational,anchor_management,19,21,2.6842105263157894,2.380952380952381,0.30325814536340845,0.5070568186081338,-0.12339465992145604,1.1375082971377237,1.66137334018031,36.135521664791156,0.10529168296228959,False
A,Rational vs BoundedRational,Rational,BoundedRational,coregulation_uptake,19,21,3.0,3.0,0.0,0.0,-0.6205826351240775,0.6205826351240775,0.0,20.0,1.0,False
A,Rational vs BoundedRational,Rational,BoundedRational,timing_fit,19,21,3.8421052631578947,3.619047619047619,0.22305764411027562,0.4928113661691274,-0.13709742907381844,1.1227201614120732,1.6106915481243655,36.84218433970215,0.11578274779573634,False
A,Rational vs BoundedRational,Rational,BoundedRational,implementation_grounding,19,21,2.0526315789473686,1.8095238095238095,0.24310776942355905,0.22614864585412914,-0.39640954737987183,0.84870683908813,0.741567241782481,35.878071864608316,0.4631764160875425,False
A,Rational vs BoundedRational,Rational,BoundedRational,cognitive_load_clarity,19,21,3.3684210526315788,3.3333333333333335,0.03508771929824528,0.0703241115850708,-0.5504498319719444,0.691098055142086,0.2263103825381356,37.38410951179973,0.8221928774804451,False
A,Rational vs BoundedRational,Rational,BoundedRational,stance_integrity,19,21,3.8947368421052633,3.7142857142857144,0.18045112781954886,0.44234009538199076,-0.1857670840005617,1.0704472747645433,1.452398304247522,35.42127538750157,0.15519232887702827,False
A,Rational vs BoundedRational,Rational,BoundedRational,premature_convergence_risk,19,21,0.3157894736842105,0.3333333333333333,-0.017543859649122806,-0.03578937682594463,-0.6564215664929212,0.5848428128410319,-0.11539315069663539,37.685361200851254,0.9087461929574608,False
A,Rational vs BoundedRational,Rational,BoundedRational,runaway_divergence_risk,19,21,0.3157894736842105,0.23809523809523808,0.07769423558897243,0.16685750662180912,-0.4548013647593241,0.7885163780029423,0.5351991704140828,36.64770905117612,0.5957450992639597,False
C,Divergent vs Convergent,Divergent,Convergent,exploration_opening,50,50,2.82,1.82,0.9999999999999998,1.378818809565578,0.9427212032031672,1.8149164159279887,6.947398898713158,84.83051300258391,7.098396535013348e-10,True
